Country Code,Day,Date,Holiday Name,Type
US,Saturday,2022-01-01,New Year's Day,Federal Holiday
US,Monday,2022-01-17,Martin Luther King Jr. Day,Federal Holiday
US,Monday,2022-02-21,President's Day,Federal Holiday
US,Monday,2022-05-30,Memorial Day,Federal Holiday
US,Sunday,2022-06-19,Juneteenth,Federal Holiday
US,Monday,2022-06-20,Juneteenth (in lieu),Federal Holiday
US,Monday,2022-07-04,Independence Day,Federal Holiday
US,Monday,2022-09-05,Labor Day,Federal Holiday
US,Monday,2022-10-10,Columbus Day,Federal Holiday
US,Friday,2022-11-11,Veterans Day,Federal Holiday
US,Thursday,2022-11-24,Thanksgiving,Federal Holiday
US,Sunday,2022-12-25,Christmas Day,Federal Holiday
US,Monday,2022-12-26,Christmas Day (in lieu),Federal Holiday
