Match Number,Round Number,Date,Location,Home Team,Away Team,Result
7,1,19/10/2022 23:30,Miami-Dade Arena,Miami Heat,Chicago Bulls,108 - 116
19,1,21/10/2022 23:00,Capital One Arena,Washington Wizards,Chicago Bulls,102 - 100
32,1,23/10/2022 00:00,United Center,Chicago Bulls,Cleveland Cavaliers,96 - 128
47,1,25/10/2022 00:00,United Center,Chicago Bulls,Boston Celtics,120 - 102
61,1,27/10/2022 00:00,United Center,Chicago Bulls,Indiana Pacers,124 - 109
77,2,29/10/2022 00:30,AT&T Center,San Antonio Spurs,Chicago Bulls,129 - 124
84,2,30/10/2022 00:00,United Center,Chicago Bulls,Philadelphia 76ers,109 - 114
103,2,01/11/2022 23:30,Barclays Center,Brooklyn Nets,Chicago Bulls,99 - 108
111,2,03/11/2022 00:00,United Center,Chicago Bulls,Charlotte Hornets,106 - 88
124,3,04/11/2022 23:30,TD Garden,Boston Celtics,Chicago Bulls,123 - 119
141,3,06/11/2022 23:00,Scotiabank Arena,Toronto Raptors,Chicago Bulls,113 - 104
151,3,08/11/2022 01:45,United Center,Chicago Bulls,Toronto Raptors,111 - 97
166,3,10/11/2022 01:00,United Center,Chicago Bulls,New Orleans Pelicans,111 - 115
196,4,14/11/2022 01:00,United Center,Chicago Bulls,Denver Nuggets,103 - 126
217,4,17/11/2022 01:00,Smoothie King Center,New Orleans Pelicans,Chicago Bulls,124 - 110
227,5,19/11/2022 01:00,United Center,Chicago Bulls,Orlando Magic,107 - 108
250,5,22/11/2022 01:00,United Center,Chicago Bulls,Boston Celtics,121 - 107
267,5,24/11/2022 01:00,Fiserv Forum,Milwaukee Bucks,Chicago Bulls,113 - 118
281,6,26/11/2022 01:00,Paycom Center,Oklahoma City Thunder,Chicago Bulls,123 - 119
306,6,29/11/2022 02:00,Vivint Arena,Utah Jazz,Chicago Bulls,107 - 114
321,6,01/12/2022 02:00,Footprint Center,Phoenix Suns,Chicago Bulls,132 - 113
336,7,03/12/2022 03:00,Chase Center,Golden State Warriors,Chicago Bulls,119 - 111
350,7,04/12/2022 23:00,Golden 1 Center,Sacramento Kings,Chicago Bulls,110 - 101
367,7,08/12/2022 01:00,United Center,Chicago Bulls,Washington Wizards,115 - 111
391,8,11/12/2022 01:00,United Center,Chicago Bulls,Dallas Mavericks,144 - 115
400,8,11/12/2022 23:30,State Farm Arena,Atlanta Hawks,Chicago Bulls,123 - 122
418,8,15/12/2022 00:30,United Center,Chicago Bulls,New York Knicks,120 - 128
434,9,17/12/2022 01:00,United Center,Chicago Bulls,New York Knicks,91 - 114
449,9,19/12/2022 00:00,Target Center,Minnesota Timberwolves,Chicago Bulls,150 - 126
