Match Number,Round Number,Date,Location,Home Team,Away Team,Result
9,1,11/09/2022 17:00,Soldier Field,Chicago Bears,San Francisco 49ers,19 - 10
19,2,19/09/2022 00:20,Lambeau Field,Green Bay Packers,Chicago Bears,27 - 10
40,3,25/09/2022 17:00,Soldier Field,Chicago Bears,Houston Texans,23 - 20
60,4,02/10/2022 17:00,MetLife Stadium,New York Giants,Chicago Bears,20 - 12
73,5,09/10/2022 17:00,U.S. Bank Stadium,Minnesota Vikings,Chicago Bears,29 - 22
94,6,14/10/2022 00:15,Soldier Field,Chicago Bears,Washington Commanders,7 - 12
95,7,25/10/2022 00:15,Gillette Stadium,New England Patriots,Chicago Bears,14 - 33
116,8,30/10/2022 17:00,AT&T Stadium,Dallas Cowboys,Chicago Bears,49 - 29
129,9,06/11/2022 18:00,Soldier Field,Chicago Bears,Miami Dolphins,32 - 35
143,10,13/11/2022 18:00,Soldier Field,Chicago Bears,Detroit Lions,30 - 31
156,11,20/11/2022 18:00,Mercedes-Benz Stadium,Atlanta Falcons,Chicago Bears,27 - 24
175,12,27/11/2022 18:00,MetLife Stadium,New York Jets,Chicago Bears,31 - 10
189,13,04/12/2022 18:00,Soldier Field,Chicago Bears,Green Bay Packers,19 - 28
220,15,18/12/2022 18:00,Soldier Field,Chicago Bears,Philadelphia Eagles,20 - 25
234,16,24/12/2022 18:00,Soldier Field,Chicago Bears,Buffalo Bills,13 - 35
248,17,01/01/2023 18:00,Ford Field,Detroit Lions,Chicago Bears,41 - 10
259,18,08/01/2023 18:00,Soldier Field,Chicago Bears,Minnesota Vikings,13 - 29
