Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip,Condition
2022-01-01,11:15:00,33,28,82,NNE,21,31,29.17,0.0,Light Snow / Windy
2022-01-01,11:29:00,32,27,82,NNE,22,31,29.17,0.0,Light Snow / Windy
2022-01-01,11:53:00,32,27,82,NNE,21,33,29.18,0.0,Light Snow / Windy
2022-01-01,12:00:00,32,28,85,NNE,22,31,29.18,0.0,Light Snow / Windy
2022-01-01,12:10:00,32,28,85,NNE,21,29,29.17,0.0,Light Snow / Windy
2022-01-01,12:23:00,32,28,85,NNE,23,35,29.17,0.0,Light Snow / Windy
2022-01-01,12:36:00,33,27,78,NNE,22,33,29.19,0.0,Light Snow / Windy
2022-01-01,12:53:00,32,27,82,NNE,22,31,29.17,0.0,Light Snow / Windy
2022-01-01,13:34:00,33,26,75,NNE,22,35,29.18,0.0,Light Snow / Windy
2022-01-01,13:53:00,32,26,79,NNE,21,31,29.18,0.0,Light Snow / Windy
2022-01-01,14:11:00,32,26,79,NNE,24,33,29.18,0.0,Light Snow / Windy
2022-01-01,14:53:00,32,26,79,NNE,24,35,29.19,0.0,Light Snow / Windy
2022-01-01,15:07:00,32,26,79,NE,22,30,29.19,0.0,Light Snow / Windy
2022-01-01,15:53:00,32,27,82,NNE,17,,29.19,0.0,Light Snow
2022-01-01,16:13:00,32,27,82,NE,14,28,29.19,0.01,Light Snow
2022-01-01,16:53:00,31,26,82,NE,14,,29.21,0.01,Light Snow
2022-01-01,17:13:00,31,27,85,NE,21,28,29.21,0.0,Light Snow / Windy
2022-01-01,17:53:00,32,26,79,NE,17,26,29.23,0.0,Light Snow
2022-01-01,18:53:00,31,26,82,NNE,20,26,29.25,0.01,Light Snow
2022-01-01,19:43:00,27,23,85,NNW,14,25,29.27,0.0,Light Snow
2022-01-01,19:53:00,26,22,84,NNW,20,,29.28,0.0,Light Snow
2022-01-01,20:10:00,25,20,81,NNW,20,,29.29,0.0,Light Snow
2022-01-01,20:22:00,24,19,81,N,18,28,29.28,0.0,Light Snow
2022-01-01,20:53:00,24,18,77,N,14,,29.3,0.01,Light Snow
2022-01-01,21:01:00,24,18,77,N,15,,29.3,0.0,Light Snow
2022-01-01,21:53:00,24,19,81,NNW,14,,29.3,0.0,Light Snow
2022-01-01,22:53:00,25,19,78,NNW,14,,29.32,0.0,Light Snow
2022-01-01,23:53:00,24,18,77,NNW,12,,29.35,0.0,Light Snow
2022-01-02,00:45:00,23,18,81,NNW,12,,29.36,0.0,Light Snow
2022-01-02,00:53:00,23,17,78,N,14,,29.37,0.0,Light Snow
2022-01-02,01:03:00,23,17,78,NNW,16,,29.38,0.0,Light Snow
2022-01-02,01:28:00,23,17,78,NNW,15,,29.4,0.0,Light Snow
2022-01-02,01:53:00,22,16,78,NNW,13,,29.43,0.0,Light Snow
2022-01-02,02:48:00,21,16,80,NNW,13,,29.46,0.0,Light Snow
2022-01-02,02:53:00,22,16,78,NW,14,,29.46,0.0,Light Snow
2022-01-02,03:43:00,23,16,74,NNW,12,,29.48,0.0,Light Snow
2022-01-02,03:53:00,23,16,74,NNW,12,,29.48,0.0,Light Snow
2022-01-02,04:53:00,24,17,75,NNW,13,,29.48,0.0,Light Snow
2022-01-02,05:24:00,25,18,75,NW,13,,29.48,0.0,Light Snow
2022-01-02,05:53:00,26,18,71,NW,14,,29.47,0.0,Light Snow
2022-01-02,06:14:00,27,18,69,NNW,12,,29.47,0.0,Mostly Cloudy
2022-01-02,06:53:00,28,18,66,N,9,,29.48,0.0,Mostly Cloudy
2022-01-02,07:53:00,29,18,64,NW,8,,29.5,0,Partly Cloudy
2022-01-02,08:53:00,29,18,64,NW,9,,29.53,0,Fair
2022-01-02,09:53:00,28,17,63,NW,7,,29.55,0,Fair
2022-01-02,10:53:00,27,17,66,NNW,7,,29.56,0,Fair
