Temperature,Wind Speed,Precip,Condition,DateTime
33,21.0,0.0,Light Snow / Windy,2022-01-01 11:15:00
32,22.0,0.0,Light Snow / Windy,2022-01-01 11:29:00
32,21.0,0.0,Light Snow / Windy,2022-01-01 11:53:00
32,22.0,0.0,Light Snow / Windy,2022-01-01 12:00:00
32,21.0,0.0,Light Snow / Windy,2022-01-01 12:10:00
32,23.0,0.0,Light Snow / Windy,2022-01-01 12:23:00
33,22.0,0.0,Light Snow / Windy,2022-01-01 12:36:00
32,22.0,0.0,Light Snow / Windy,2022-01-01 12:53:00
33,22.0,0.0,Light Snow / Windy,2022-01-01 13:34:00
32,21.0,0.0,Light Snow / Windy,2022-01-01 13:53:00
32,24.0,0.0,Light Snow / Windy,2022-01-01 14:11:00
32,24.0,0.0,Light Snow / Windy,2022-01-01 14:53:00
32,22.0,0.0,Light Snow / Windy,2022-01-01 15:07:00
32,17.0,0.0,Light Snow,2022-01-01 15:53:00
31,21.0,0.0,Light Snow / Windy,2022-01-01 17:13:00
32,17.0,0.0,Light Snow,2022-01-01 17:53:00
27,14.0,0.0,Light Snow,2022-01-01 19:43:00
26,20.0,0.0,Light Snow,2022-01-01 19:53:00
25,20.0,0.0,Light Snow,2022-01-01 20:10:00
24,18.0,0.0,Light Snow,2022-01-01 20:22:00
24,15.0,0.0,Light Snow,2022-01-01 21:01:00
24,14.0,0.0,Light Snow,2022-01-01 21:53:00
25,14.0,0.0,Light Snow,2022-01-01 22:53:00
24,12.0,0.0,Light Snow,2022-01-01 23:53:00
23,12.0,0.0,Light Snow,2022-01-02 00:45:00
23,14.0,0.0,Light Snow,2022-01-02 00:53:00
23,16.0,0.0,Light Snow,2022-01-02 01:03:00
23,15.0,0.0,Light Snow,2022-01-02 01:28:00
22,13.0,0.0,Light Snow,2022-01-02 01:53:00
21,13.0,0.0,Light Snow,2022-01-02 02:48:00
22,14.0,0.0,Light Snow,2022-01-02 02:53:00
23,12.0,0.0,Light Snow,2022-01-02 03:43:00
23,12.0,0.0,Light Snow,2022-01-02 03:53:00
24,13.0,0.0,Light Snow,2022-01-02 04:53:00
25,13.0,0.0,Light Snow,2022-01-02 05:24:00
26,14.0,0.0,Light Snow,2022-01-02 05:53:00
27,12.0,0.0,Mostly Cloudy,2022-01-02 06:14:00
28,9.0,0.0,Mostly Cloudy,2022-01-02 06:53:00
29,8.0,0.0,Partly Cloudy,2022-01-02 07:53:00
29,9.0,0.0,Fair,2022-01-02 08:53:00
28,7.0,0.0,Fair,2022-01-02 09:53:00
27,7.0,0.0,Fair,2022-01-02 10:53:00
26,7.0,0.0,Fair,2022-01-02 11:53:00
24,8.0,0.0,Fair,2022-01-02 12:53:00
22,12.0,0.0,Fair,2022-01-02 13:53:00
20,7.0,0.0,Fair,2022-01-02 14:53:00
18,7.0,0.0,Fair,2022-01-02 15:53:00
17,7.0,0.0,Fair,2022-01-02 16:53:00
16,8.0,0.0,Fair,2022-01-02 17:53:00
15,7.0,0.0,Fair,2022-01-02 18:53:00
14,6.0,0.0,Fair,2022-01-02 19:53:00
14,9.0,0.0,Fair,2022-01-02 20:53:00
13,3.0,0.0,Fair,2022-01-02 21:53:00
13,3.0,0.0,Fair,2022-01-02 22:53:00
12,5.0,0.0,Fair,2022-01-02 23:53:00
11,7.0,0.0,Fair,2022-01-03 00:53:00
11,7.0,0.0,Fair,2022-01-03 01:53:00
12,8.0,0.0,Fair,2022-01-03 02:53:00
14,8.0,0.0,Fair,2022-01-03 03:53:00
18,8.0,0.0,Fair,2022-01-03 04:53:00
20,10.0,0.0,Fair,2022-01-03 05:53:00
22,13.0,0.0,Fair,2022-01-03 06:53:00
23,10.0,0.0,Fair,2022-01-03 07:53:00
23,13.0,0.0,Fair,2022-01-03 08:53:00
22,13.0,0.0,Fair,2022-01-03 09:53:00
20,9.0,0.0,Fair,2022-01-03 10:53:00
20,7.0,0.0,Fair,2022-01-03 11:53:00
21,8.0,0.0,Fair,2022-01-03 12:53:00
21,8.0,0.0,Fair,2022-01-03 13:53:00
23,14.0,0.0,Fair,2022-01-03 14:53:00
23,13.0,0.0,Fair,2022-01-03 15:53:00
24,10.0,0.0,Fair,2022-01-03 16:53:00
24,12.0,0.0,Partly Cloudy,2022-01-03 17:53:00
24,8.0,0.0,Partly Cloudy,2022-01-03 18:53:00
24,9.0,0.0,Partly Cloudy,2022-01-03 19:53:00
24,10.0,0.0,Partly Cloudy,2022-01-03 20:53:00
24,7.0,0.0,Partly Cloudy,2022-01-03 21:53:00
25,9.0,0.0,Partly Cloudy,2022-01-03 22:53:00
25,10.0,0.0,Fair,2022-01-03 23:53:00
25,9.0,0.0,Fair,2022-01-04 00:53:00
25,10.0,0.0,Mostly Cloudy,2022-01-04 01:53:00
28,15.0,0.0,Mostly Cloudy,2022-01-04 02:53:00
30,15.0,0.0,Mostly Cloudy,2022-01-04 03:53:00
32,16.0,0.0,Mostly Cloudy,2022-01-04 04:53:00
33,16.0,0.0,Mostly Cloudy,2022-01-04 05:53:00
34,17.0,0.0,Cloudy,2022-01-04 06:53:00
35,14.0,0.0,Cloudy,2022-01-04 07:53:00
35,16.0,0.0,Cloudy,2022-01-04 08:53:00
34,13.0,0.0,Cloudy,2022-01-04 09:53:00
34,12.0,0.0,Cloudy,2022-01-04 10:53:00
35,15.0,0.0,Cloudy,2022-01-04 11:53:00
35,15.0,0.0,Cloudy,2022-01-04 12:53:00
35,15.0,0.0,Cloudy,2022-01-04 13:53:00
35,16.0,0.0,Partly Cloudy,2022-01-04 14:53:00
35,16.0,0.0,Mostly Cloudy,2022-01-04 15:53:00
36,20.0,0.0,Mostly Cloudy,2022-01-04 16:53:00
35,17.0,0.0,Mostly Cloudy,2022-01-04 17:53:00
35,18.0,0.0,Fair,2022-01-04 18:53:00
34,16.0,0.0,Mostly Cloudy,2022-01-04 19:53:00
34,18.0,0.0,Mostly Cloudy,2022-01-04 20:53:00
34,25.0,0.0,Cloudy / Windy,2022-01-04 21:28:00
33,17.0,0.0,Cloudy,2022-01-04 21:53:00
33,23.0,0.0,Cloudy / Windy,2022-01-04 22:09:00
29,21.0,0.0,Light Snow / Windy,2022-01-04 22:53:00
27,26.0,0.0,Blowing Snow / Windy,2022-01-04 23:14:00
25,24.0,0.0,Cloudy / Windy,2022-01-04 23:53:00
24,20.0,0.0,Light Snow,2022-01-05 00:03:00
21,23.0,0.0,Light Snow / Windy,2022-01-05 00:53:00
20,23.0,0.0,Light Snow / Windy,2022-01-05 01:32:00
20,28.0,0.0,Light Snow / Windy,2022-01-05 01:39:00
20,22.0,0.0,Light Snow / Windy,2022-01-05 01:53:00
19,25.0,0.0,Light Snow / Windy,2022-01-05 02:53:00
17,26.0,0.0,Light Snow / Windy,2022-01-05 03:42:00
16,24.0,0.0,Light Snow / Windy,2022-01-05 03:53:00
15,25.0,0.0,Light Snow / Windy,2022-01-05 04:53:00
15,23.0,0.0,Light Snow / Windy,2022-01-05 05:53:00
15,25.0,0.0,Haze / Windy,2022-01-05 06:05:00
14,26.0,0.0,Haze / Windy,2022-01-05 06:53:00
14,24.0,0.0,Light Snow / Windy,2022-01-05 06:59:00
14,30.0,0.0,Light Snow / Windy,2022-01-05 07:53:00
14,28.0,0.0,Light Snow / Windy,2022-01-05 08:53:00
14,17.0,0.0,Light Snow,2022-01-05 09:44:00
14,22.0,0.0,Light Snow / Windy,2022-01-05 09:53:00
14,23.0,0.0,Light Snow / Windy,2022-01-05 10:21:00
14,22.0,0.0,Light Snow / Windy,2022-01-05 10:53:00
14,25.0,0.0,Light Snow / Windy,2022-01-05 11:13:00
14,22.0,0.0,Blowing Snow / Windy,2022-01-05 11:37:00
14,23.0,0.0,Cloudy / Windy,2022-01-05 11:53:00
14,21.0,0.0,Cloudy / Windy,2022-01-05 12:53:00
14,17.0,0.0,Mostly Cloudy,2022-01-05 13:53:00
14,18.0,0.0,Cloudy,2022-01-05 14:53:00
14,21.0,0.0,Cloudy / Windy,2022-01-05 15:32:00
14,20.0,0.0,Light Snow,2022-01-05 15:42:00
14,20.0,0.0,Light Snow,2022-01-05 15:53:00
14,15.0,0.0,Light Snow,2022-01-05 16:13:00
14,20.0,0.0,Light Snow,2022-01-05 16:28:00
14,18.0,0.0,Light Snow,2022-01-05 16:53:00
13,13.0,0.0,Light Snow,2022-01-05 17:17:00
13,15.0,0.0,Light Snow,2022-01-05 17:53:00
13,17.0,0.0,Light Snow,2022-01-05 18:39:00
12,15.0,0.0,Light Snow,2022-01-05 18:53:00
12,12.0,0.0,Fair,2022-01-05 19:31:00
12,12.0,0.0,Fair,2022-01-05 19:53:00
11,13.0,0.0,Fair,2022-01-05 20:53:00
10,15.0,0.0,Fair,2022-01-05 21:53:00
9,14.0,0.0,Fair,2022-01-05 22:53:00
9,12.0,0.0,Fair,2022-01-05 23:53:00
8,14.0,0.0,Fair,2022-01-06 00:53:00
8,9.0,0.0,Fair,2022-01-06 01:53:00
9,10.0,0.0,Fair,2022-01-06 02:53:00
12,13.0,0.0,Fair,2022-01-06 03:53:00
13,13.0,0.0,Fair,2022-01-06 04:53:00
14,13.0,0.0,Fair,2022-01-06 05:53:00
16,14.0,0.0,Fair,2022-01-06 06:53:00
16,15.0,0.0,Mostly Cloudy,2022-01-06 07:53:00
16,14.0,0.0,Mostly Cloudy,2022-01-06 08:53:00
16,13.0,0.0,Light Snow,2022-01-06 09:30:00
16,12.0,0.0,Light Snow,2022-01-06 09:47:00
15,13.0,0.0,Light Snow,2022-01-06 09:53:00
15,16.0,0.0,Light Snow,2022-01-06 10:53:00
14,14.0,0.0,Light Snow,2022-01-06 11:53:00
12,16.0,0.0,Light Snow,2022-01-06 12:53:00
11,20.0,0.0,Light Snow,2022-01-06 13:42:00
